DocumentID,spam,external,internal,foreign_language,too_short,repeated_characters,repeated_lines,html,phone_number,links,author_account_age,author_n_logins,author_uploaded_docs,author_spam,author_published_docs,author_valid_email_address,author_email_domain,author_plan_at_submission,document_n_words,document_format,document_upload_method
68320597,0,1,1,0,0,0,0,0,0,0,595,2,1,,0,1,yahoo.com,free,89680,docx,upload
68324329,0,0,0,0,1,0,1,0,0,0,23,1,1,,0,1,yahoo.com,free,2,docx,upload
68326039,0,0,0,1,0,0,0,0,0,0,23,1,3,,0,1,yahoo.com,free,956,docx,upload
68326687,0,0,0,0,1,0,0,0,0,0,23,1,1,,0,1,Yahoo.com,free,224,docx,upload
68340784,0,0,0,0,1,0,0,0,0,0,23,1,1,,0,1,gmail.com,free,43,odt,upload
68341303,0,0,0,0,1,0,0,0,0,0,23,1,2,,1,1,buckingham.ac.uk,free,244,docx,dropbox
68342299,0,0,0,0,1,0,1,0,0,0,23,1,1,,0,1,gmail.com,free,0,docx,upload
68342929,0,0,0,1,0,0,0,0,0,1,23,2,1,,0,1,yahoo.gr,free,34047,pdf,upload
68347891,0,0,0,0,1,0,0,0,0,0,23,1,1,,0,1,mymdc.net,free,195,docx,upload
68348989,0,0,0,0,1,0,0,0,0,0,23,1,1,,0,1,hotmail.com,free,130,pptx,upload
68356180,0,0,0,0,0,1,0,0,0,0,23,1,1,,0,1,gmail.com,free,4628,doc,upload
68364820,0,0,0,0,0,0,0,0,0,0,23,1,1,,0,1,yahoo.com,free,717,docx,upload
68366947,0,1,1,0,0,0,0,0,0,0,23,1,1,,0,1,gmail.com,free,2139,pdf,google_drive
68367253,0,0,0,1,0,0,0,0,0,0,659,1,1,,0,1,hotmail.com,free,279,docx,upload
68371588,0,0,0,0,0,0,0,0,0,0,1395,15,1,,0,1,gmail.com,free,719,docx,upload
68373085,0,1,1,0,0,0,0,0,0,0,23,3,34,,9,1,rambler.ru,free,2426,docx,upload
68395750,0,0,0,0,1,0,1,0,0,0,22,1,1,,0,1,rambler.ru,free,121,ppt,upload
